species	habitat	taxonomic.class	tissue	diet.type	source.iso.13C	source.iso.15N	delta13C	delta15N	citation
Cygnus_columbianus	terrestrial	aves	claws	pellet	-21.46	1.95	0.36	4.65	"Hahn, S., Hoye, B. J., Korthals, H., & Klaassen, M. (2012). From food to offspring down: tissue-specific discrimination and turn-over of stable isotopes in herbivorous waterbirds and other avian foraging guilds. PLoS One, 7(2), e30242."
Cygnus_columbianus	terrestrial	aves	feather	pellet	-21.46	1.95	1.56	4.55	"Hahn, S., Hoye, B. J., Korthals, H., & Klaassen, M. (2012). From food to offspring down: tissue-specific discrimination and turn-over of stable isotopes in herbivorous waterbirds and other avian foraging guilds. PLoS One, 7(2), e30242."
Cygnus_columbianus	terrestrial	aves	feather	pellet	-21.46	1.95	0.66	5.35	"Hahn, S., Hoye, B. J., Korthals, H., & Klaassen, M. (2012). From food to offspring down: tissue-specific discrimination and turn-over of stable isotopes in herbivorous waterbirds and other avian foraging guilds. PLoS One, 7(2), e30242."
Anas_platyrhynchos	terrestrial	aves	blood	pellet	-21.46	1.95	0.16	4.65	"Hahn, S., Hoye, B. J., Korthals, H., & Klaassen, M. (2012). From food to offspring down: tissue-specific discrimination and turn-over of stable isotopes in herbivorous waterbirds and other avian foraging guilds. PLoS One, 7(2), e30242."
Anas_platyrhynchos	terrestrial	aves	blood	pellet	-21.46	1.95	-0.34	3.55	"Hahn, S., Hoye, B. J., Korthals, H., & Klaassen, M. (2012). From food to offspring down: tissue-specific discrimination and turn-over of stable isotopes in herbivorous waterbirds and other avian foraging guilds. PLoS One, 7(2), e30242."
Anas_platyrhynchos	terrestrial	aves	claws	pellet	-21.46	1.95	0.46	4.35	"Hahn, S., Hoye, B. J., Korthals, H., & Klaassen, M. (2012). From food to offspring down: tissue-specific discrimination and turn-over of stable isotopes in herbivorous waterbirds and other avian foraging guilds. PLoS One, 7(2), e30242."
Anas_platyrhynchos	terrestrial	aves	feather	pellet	-21.46	1.95	0.36	4.85	"Hahn, S., Hoye, B. J., Korthals, H., & Klaassen, M. (2012). From food to offspring down: tissue-specific discrimination and turn-over of stable isotopes in herbivorous waterbirds and other avian foraging guilds. PLoS One, 7(2), e30242."
Anas_platyrhynchos	terrestrial	aves	feather	pellet	-21.46	1.95	1.16	5.15	"Hahn, S., Hoye, B. J., Korthals, H., & Klaassen, M. (2012). From food to offspring down: tissue-specific discrimination and turn-over of stable isotopes in herbivorous waterbirds and other avian foraging guilds. PLoS One, 7(2), e30242."
Mus_musculus	terrestrial	mammalia	hair	pellet	-19.3	5.1	1.1	3.05	"DeNiro, M. J., & Epstein, S. (1978). Influence of diet on the distribution of carbon isotopes in animals. Geochimica et cosmochimica acta, 42(5), 495-506."
Mus_musculus	terrestrial	mammalia	liver	pellet	-19.3	5.1	-1.3	4.22	"DeNiro, M. J., & Epstein, S. (1978). Influence of diet on the distribution of carbon isotopes in animals. Geochimica et cosmochimica acta, 42(5), 495-506."
